EA_CODE,poor,total_weights,total_obs,fold
10101006,0.22978092522546897,5689.704781828768,16,4
10101011,0.4442625386019857,7614.369295081744,16,2
10101027,0.09473360935997366,9441.471840024094,16,5
10101033,0.3759410279574053,7486.09309067973,16,4
10101039,0.6004570230374241,9146.939973109547,16,1
10101054,0.49706510361831063,5351.052068331406,16,5
10101065,0.45275651994252414,7289.805935868973,16,4
10102009,0.29443786893529195,5370.287910012259,16,2
10102023,0.48002075825310736,9239.861076565783,16,2
10102024,0.24416769037678349,7478.713573659302,16,4
10102035,0.31480810970195083,6145.430543171912,16,4
10103008,0.2197823933824926,9915.73050123077,16,4
10103024,0.13164556959605858,8079.109522155697,16,5
10105009,0.23588930935062027,10297.797940862953,16,4
10105019,0.7931986892400559,8533.935258023514,16,3
10106002,0.4978668387747759,12694.120220401011,16,4
10106017,0.10898703676124244,6358.900165088751,16,5
10107015,0.43849361508607154,17058.532754045667,16,2
10109007,0.484791667003495,6379.363035993958,16,5
10109019,0.5548448559752712,11274.64438132907,16,2
10109901,0.34677548421467286,17705.774270762053,16,3
10120708,0.0938762816807944,6052.0478406731145,16,4
10201025,0.29236079844316926,13673.759266725818,16,3
10201037,0.41055484631118255,11510.213942077076,16,1
10201044,0.26756756862510256,12721.479904573514,16,3
10201061,0.38353626272677827,17283.989195125556,16,4
10202014,0.4488054614133277,9378.824432502644,16,3
10203006,0.5335975188016053,2532.4435047489237,16,2
10203022,0.4897156151751915,8730.86276460185,16,5
10203038,0.5165087574339792,13323.478237337962,16,1
10203084,0.718905472877527,14514.427746700392,16,3
10203101,0.378382838784624,12205.085137390612,16,1
10204004,0.3387053809375321,19035.64740115657,16,5
10204015,0.07536896385158266,15424.8127563151,16,1
10204022,0.6257403535872501,13228.61453996654,16,1
10204035,0.5069109078849597,14244.546105007446,16,2
10204053,0.5787595379506353,16184.986460846483,16,1
10205007,0.3926203518061046,19760.676279117983,16,3
10205032,0.6135622972857939,20423.39293905872,16,2
10220731,0.10642927750946972,10336.008880771751,16,3
10220749,0.4425170071285482,14703.63402693883,16,1
10301015,0.11079510331005202,19088.310216863076,16,2
10301045,0.36617002567126056,6740.444072103248,16,5
10301055,0.24062998487248743,3566.2936702882066,16,1
10301065,0.5237255544391566,1609.8555274715432,16,3
10302010,0.3683283239101395,16659.685763186277,16,3
10303001,0.39979480234832127,10521.6801810106,16,2
10304002,0.405684035651441,26980.487485056045,16,5
10304009,0.16770491776888294,10629.223500295444,16,2
10305002,0.08863492068533152,7152.203203244072,16,4
10306020,0.0979100406627298,14355.5601933211,16,4
10306023,0,7663.787222932157,16,1
10308018,0.27309136405941953,20866.87178609099,16,3
10309007,0.259717987722964,7355.33112163613,16,5
10310014,0.10306909616514928,9677.697738323992,16,3
10312004,0.29884473762816605,9409.746097683268,16,4
10312032,0.05016123248531884,11833.914853040911,16,4
10312038,0.08169872415145933,7319.048736565798,16,1
10312049,0,14113.801840672531,16,4
10401008,0.16229624454897626,8473.898156959167,16,3
10401033,0.2570827264380947,6593.66023253452,16,1
10401045,0.389338629185181,9681.593875778644,16,4
10401063,0.4611486497966448,10535.51119947941,16,1
10401072,0,9556.787172976829,16,2
10401083,0.34141095448401115,10858.267806899745,16,5
10403004,0.18067494382822055,9755.199547815357,16,5
10403019,0.14924740411032367,14060.690136840314,12,5
10403020,0.1150278291873673,8097.829763105387,16,1
10404013,0.4025423738126657,12892.529461931052,16,2
10404028,0.153305439580061,8964.799143775408,16,2
10405004,0.5603326261219087,15263.993317033835,16,2
10405019,0.3174741743538944,8425.233087832074,16,5
10407006,0.3024509799887389,9880.702513071974,16,3
10407018,0.20202020288524097,9424.603291747995,16,4
10408016,0.35765778929883035,10044.582585371534,16,4
10409002,0.2551004522176352,6251.3925117374,16,3
10410005,0.0821652969217807,6607.531234442173,16,2
10420717,0.06704134909434466,8487.030253583744,16,5
10501009,0.42668595186739183,41993.61881767264,16,2
10501123,0.32743362880368143,27048.79464761972,16,1
10501166,0.4957394448279728,19327.233541914415,16,3
10502048,0.3817582751131109,32605.48246324607,16,3
10502092,0.2394262591084635,77414.10887039597,16,1
10502241,0.12282375444557556,15982.970536577046,16,1
10502805,0.32953127883240885,39953.88348108433,16,5
10504001,0.18173745748880335,44283.075534778334,16,1
10505068,0.6634514196291251,40499.99287853831,16,2
10505142,0.25778485613980906,44262.77584743253,16,3
10505273,0.3931773886446543,33383.98948486576,16,3
10506026,0.5683111969602931,28875.802986308496,16,5
10506085,0.20091498196821173,31740.516446036272,16,4
10506907,0.19620938732709145,44271.08652212302,16,3
10507062,0.2948423130884433,43603.82797615525,16,3
10508021,0.5206239687042055,38424.116360572654,16,1
10508078,0.384662670748219,33689.28199539339,16,3
10509089,0.5139358123214535,107395.82880530236,16,4
10510042,0.6188747733916969,24720.781363252765,16,3
10511014,0.2561492781988789,21876.47346461215,3,3
10601002,0.34315758277607245,6729.129388502309,16,2
10601011,0.16810804475256397,6672.681705820672,16,4
10702009,0,6707.905570425652,16,5
10706004,0,4893.311759820058,16,3
10707014,0.029380994309099,20291.27975184766,32,5
10708009,0,7161.9384130222825,16,1
10710002,0.3136996622975142,16387.474586535012,16,1
10710019,0.1841021422847646,6164.514390381144,16,3
10710025,0.11678454416468588,6536.511888186053,16,2
